Model,Accuracy,Precision,Recall,F1-Score,Training Time (s),Features Used
DIO-Optimized RF,1.0,1.0,1.0,1.0,0.2725050449371338,8
XGBoost (Selected Features),0.9941520467836257,0.9942434210526315,0.9941520467836257,0.9941614703302846,0.033844709396362305,8
RF Default (Selected Features),0.9883040935672515,0.9883040935672515,0.9883040935672515,0.9883040935672515,0.14557147026062012,8
Logistic Regression,0.9766081871345029,0.9766081871345029,0.9766081871345029,0.9766081871345029,0.13781952857971191,30
RF Default (All Features),0.9707602339181286,0.9711000474158369,0.9707602339181286,0.970603923775359,0.17554330825805664,30
XGBoost (All Features),0.9649122807017544,0.9654113513100604,0.9649122807017544,0.9650224422036399,1.2442212104797363,30
Gradient Boosting,0.9590643274853801,0.9589959657949254,0.9590643274853801,0.9589949066213922,0.5230064392089844,30
KNN,0.9590643274853801,0.9601127475386665,0.9590643274853801,0.9586816223461312,0.0,30
Naive Bayes,0.9415204678362573,0.941391481684838,0.9415204678362573,0.9413171134406007,0.0020627975463867188,30
SVM,0.935672514619883,0.9416187527642635,0.935672514619883,0.9341545781711509,0.13355326652526855,30
