Model,Mean_Accuracy,Std_Accuracy,Min_Accuracy,Max_Accuracy,Mean_F1,Std_F1,Mean_Precision,Mean_Recall,Mean_Time,Features,Rank
XGBoost (All),0.9623781676413252,0.01522590610930098,0.935672514619883,0.9883040935672515,0.9623317422603794,0.015179331141194095,0.9630444966245963,0.9623781676413252,0.1048728624979655,30,1
RF Default (All),0.9586744639376217,0.013583821746732432,0.9298245614035088,0.9824561403508771,0.9585775136778766,0.01371905403224962,0.9591674534117545,0.9586744639376217,0.40471901098887125,30,2
Gradient Boosting,0.957504873294347,0.016535914277152827,0.9122807017543859,0.9941520467836257,0.957414971710801,0.016581350018936725,0.9579439916219962,0.957504873294347,0.8732388893763224,30,3
XGBoost (Selected),0.9538011695906431,0.016701683402254947,0.9239766081871345,0.9824561403508771,0.9536958913934523,0.016795346877380688,0.954254832820968,0.9538011695906431,0.09395596981048585,8,4
Logistic Regression,0.9491228070175436,0.014882629237135582,0.9239766081871345,0.9766081871345029,0.9489460074661266,0.01492345567028346,0.9496751463906554,0.9491228070175436,0.25707391897837323,30,5
RF Default (Selected),0.9489278752436647,0.0143191950660483,0.9181286549707602,0.9707602339181286,0.9487770424336457,0.014361796700579627,0.9494449320100585,0.9489278752436647,0.3373748540878296,8,6
DIO-Optimized RF,0.9471734892787524,0.014122803654331351,0.9239766081871345,0.9707602339181286,0.9469938785842037,0.014192805910219085,0.9477250091110249,0.9471734892787524,0.6332725127538045,8,7
Naive Bayes,0.9419103313840154,0.015018604510142869,0.9064327485380117,0.9649122807017544,0.9415788987305166,0.01510478055322668,0.9426857613153197,0.9419103313840154,0.0030768712361653647,30,8
KNN,0.9302144249512672,0.014711861414513226,0.9005847953216374,0.9707602339181286,0.9297341843657333,0.014889791503727151,0.9310167918599422,0.9302144249512672,0.0016052881876627604,30,9
SVM,0.9155945419103315,0.019494152022418363,0.8654970760233918,0.9473684210526315,0.9137516806915044,0.02056353084335544,0.9199596690042718,0.9155945419103315,0.008605472246805827,30,10
