Rank,Model,Accuracy,F1-Score,Precision,Recall,Features
1,XGBoost (Selected),0.9707602339181286,0.9707131161848344,0.9707370277545716,0.9707602339181286,6
2,RF Default (Selected),0.9707602339181286,0.9706114749238687,0.971110588194281,0.9707602339181286,6
3,XGBoost (All),0.9649122807017544,0.9646682554269665,0.9655761024182077,0.9649122807017544,30
4,DIO-Optimized RF (CV),0.9649122807017544,0.9646682554269665,0.9655761024182077,0.9649122807017544,6
5,Naive Bayes,0.9473684210526315,0.9468994906243223,0.9482047279214987,0.9473684210526315,30
6,Gradient Boosting,0.9473684210526315,0.9471006548629639,0.9474625460820457,0.9473684210526315,30
7,Logistic Regression,0.9415204678362573,0.9408798947194116,0.942794632803145,0.9415204678362573,30
8,RF Default (All),0.935672514619883,0.9355688556066355,0.9355332776385409,0.935672514619883,30
9,KNN,0.9239766081871345,0.9238541020805692,0.9237986942665306,0.9239766081871345,30
10,SVM,0.9064327485380117,0.9045565892131459,0.9096816114359974,0.9064327485380117,30
