Model,Accuracy,F1-Score,Features,Train_Time,Rank
DIO-Optimized XGBoost,0.9883040935672515,0.9907407407407407,17,0.0,1
XGBoost Default (Selected),0.9824561403508771,0.986046511627907,17,0.0384218692779541,2
XGBoost Default (All),0.9649122807017544,0.9724770642201835,30,0.04642367362976074,3
Naive Bayes,0.9473684210526315,0.958904109589041,30,0.0015118122100830078,4
Gradient Boosting,0.9415204678362573,0.9541284403669725,30,0.3819577693939209,5
Logistic Regression,0.9415204678362573,0.9545454545454546,30,0.12759709358215332,6
RF Default (Selected),0.935672514619883,0.9483568075117371,17,0.16994214057922363,7
RF Default (All),0.935672514619883,0.9488372093023256,30,0.1662147045135498,8
KNN,0.9239766081871345,0.9395348837209302,30,0.0,9
SVM,0.9064327485380117,0.9285714285714286,30,0.018006563186645508,10
