Model,Mean_Accuracy,Std_Accuracy,Min_Accuracy,Max_Accuracy,Mean_F1,Std_F1,Mean_Precision,Mean_Recall,Mean_Time,Features,Rank
DIO-XGBoost-Optimized,0.968810916179337,0.011027006334293135,0.9415204678362573,0.9883040935672515,0.9687401240117907,0.011119164332661038,0.9691202738656544,0.968810916179337,0.049579707781473796,10,1
XGBoost Default (XGB-Selected),0.9651072124756334,0.012495415602758169,0.9239766081871345,0.9883040935672515,0.9650199524917392,0.012664520699486273,0.9655573583686666,0.9651072124756334,0.03609706560770671,10,2
XGBoost (All),0.9623781676413252,0.01522590610930098,0.935672514619883,0.9883040935672515,0.9623317422603794,0.015179331141194095,0.9630444966245963,0.9623781676413252,0.05283614794413249,30,3
RF Default (XGB-Selected),0.9606237816764132,0.012260573250305174,0.9298245614035088,0.9766081871345029,0.9604412817516615,0.01243784858632857,0.9610449719031535,0.9606237816764132,0.1848860502243042,10,4
RF Default (All),0.9586744639376217,0.013583821746732432,0.9298245614035088,0.9824561403508771,0.9585775136778766,0.01371905403224962,0.9591674534117545,0.9586744639376217,0.1846264362335205,30,5
Gradient Boosting,0.9567251461988303,0.016718738122722468,0.9122807017543859,0.9941520467836257,0.9566426769590531,0.016749734147074914,0.9571830089009418,0.9567251461988303,0.4259296973546346,30,6
Logistic Regression,0.9491228070175436,0.01627300909430047,0.9181286549707602,0.9766081871345029,0.9489602176656613,0.01631420789170755,0.9496856699442773,0.9491228070175436,0.2616811037063599,30,7
Naive Bayes,0.9419103313840154,0.015018604510142869,0.9064327485380117,0.9649122807017544,0.9415788987305166,0.01510478055322668,0.9426857613153197,0.9419103313840154,0.0017661492029825846,30,8
KNN,0.9302144249512672,0.014711861414513226,0.9005847953216374,0.9707602339181286,0.9297341843657333,0.014889791503727151,0.9310167918599422,0.9302144249512672,0.0005552371342976888,30,9
SVM,0.9155945419103315,0.019494152022418363,0.8654970760233918,0.9473684210526315,0.9137516806915044,0.02056353084335544,0.9199596690042718,0.9155945419103315,0.003692762056986491,30,10
